종목코드,종목명,전일종가,전일대비,목표주가,ROE [%],부채비율 [%],영업이익률 [%],PBR(FY0) [배]
A050090,?비케이홀딩스,?742,?0.82,,?-22.41,?26.84,?-6.05,?1.19
A210120,?빅텐츠,"?21,600",?0.00,,?-1.4,?24.94,?-3.11,?1.89
A008040,?사조동아원,?964,?-0.52,,?4.53,?84.97,?5.69,?0.56
A006090,?사조오양,"?8,310",?-0.12,,?9.51,?56.82,?4.16,?0.37
A001360,?삼성제약,"?1,582",?-1.06,,?-27.54,?20.49,?-34.72,?1.85
A068290,?삼성출판사,"?15,140",?-0.72,,?5.12,?18.32,?-3.14,?1.2
A361670,?삼영에스앤씨,"?5,080",?0.20,,?-11.4,?13.14,?-30.38,?1.23
A065570,?삼영이엔씨,"?1,500",?-7.52,,?-45.83,?118.25,?-18.37,?1.08
A023000,?삼원강재,"?2,365",?-0.42,,?7.02,?25.25,?4.6,?0.5
A032280,?삼일,"?2,770",?-1.60,,?4.61,?70.94,?1.73,?0.5
A002290,?삼일기업공사,"?3,780",?-1.18,,?5.99,?17.85,?3.95,?0.78
A009770,?삼정펄프,"?25,700",?-0.58,,?6.39,?8.27,?4.14,?0.28
A005500,?삼진제약,"?17,900",?-0.44,,?6.99,?58.24,?7.01,?1.04
A017480,?삼현철강,"?4,520",?0.22,,?5.43,?13.8,?3.71,?0.41
A107600,?새빗켐,"?17,870",?-1.27,,?-1.86,?56.33,?-10.66,?5.33
A411080,?샌즈랩,"?7,520",?-4.57,,?2.06,?14.14,?-7.54,?2.91
A252990,?샘씨엔에스,"?5,170",?8.27,,?-1.22,?87.89,?-9.41,?2.67
A294630,?서남,"?3,535",?-4.33,,?-118.97,?40.13,?-48.41,?9.34
A100660,?서암기계공업,"?3,795",?0.66,,?2.97,?15.39,?1.34,?0.87
A004410,?서울식품,?151,?-0.66,,?-2.08,?164.98,?0.91,?2.71
A018680,?서울제약,"?3,550",?0.28,,?9.51,?64.16,?2.31,?1.16
A189860,?서전기전,"?4,045",?1.25,,?-11.61,?79.89,?-7.99,?1.39
A067370,?선바이오,"?7,150",?0.42,,?17.74,?69.59,?42.24,?4.91
A002420,?세기상사,"?5,150",?2.39,,?-5.81,?88.5,?-2.6,?1.27
A188260,?세니젠,"?3,965",?9.53,,?-1860.17,?54.67,?-28.36,?1.9
A340440,?세림B&G,"?1,187",?-1.00,,?12.24,?47.04,?7.38,?1.62
A017510,?세명전기,"?4,925",?2.71,,?1.75,?11.16,?11.42,?0.57
A396300,?세아메카닉스,"?2,525",?0.80,,?9.48,?45.09,?2.3,?1.54
A306200,?세아제강,"?118,500",?-1.25,,?20.68,?54.01,?12.46,?0.39
A024830,?세원물산,"?6,150",?1.82,,?4.24,?29.64,?3.06,?0.15
A067830,?세이브존I&C,"?2,015",?-0.98,,?2.9,?23.28,?8.92,?0.2
A252500,?세화피앤씨,?864,?0.00,,?7.25,?10.16,?4.75,?0.97
A068760,?셀트리온제약,"?57,600",?0.52,,?5.8,?70.35,?9.28,?9.3
A290690,?소룩스,"?8,000",?-3.73,,?-12.66,?156.59,?0.86,?9.43
A050960,?수산아이앤티,"?16,460",?0.73,,?6.74,?15.49,?27.07,?0.82
A330730,?스톤브릿지벤처스,"?3,690",?-1.34,,?7.08,?10.72,?33.89,?1.2
A049830,?승일,"?7,760",?-1.77,,?0.29,?19.04,?0.42,?0.43
A429270,?시지트로닉스,"?5,210",?-6.96,,?-27.13,?36.48,?-43.49,?1.79
A131090,?시큐브,?920,?-4.37,,?13.36,?9.07,?30.83,?0.92
A232830,?시큐센,"?2,575",?-8.53,,?-9.02,?57.85,?-7.91,?4.33
A001000,?신라섬유,"?1,013",?0.20,,?-4.46,?110.18,?10.37,?2.7
A290560,?신시웨이,"?6,400",?-2.29,,?-0.12,?20.3,?14.66,?2.22
